index,title,service_area,category_1,category_2,category_3,contact_name,contact_number,contact_email,address,url,description
32,NYC Telehealth Providers,NYC,mental-health,,,,,,,https://cdn-blob-prd.azureedge.net/prd-pws/docs/default-source/default-document-library/mental-health-telehealth-contacts-for-covid-19.pdf,"Telehealth providers that accept various forms of insurance, offer sliding-scale billing"
33,NYC Dept of Ed Remote Learning resources,NYC,schools,covid,,,,,,https://www.schools.nyc.gov/learn-at-home,List of remote-learning resources available to NYC parents
34,NYC Dept of Ed Ipad Request form,NYC,education,learning,supplies,,,,,https://www.schools.nyc.gov/learn-at-home/ipad-distribution,Parents can receive a free iPad tablet — loaned until school resumes
35,Amazing Educational Resources,National,education,learning,supplies,,,,,http://www.amazingeducationalresources.com/,Enormous list of free educational resources
36,Harriet’s Tracks Resource Guide,NYC,schools,covids,supplies,,,,,https://docs.google.com/document/d/1RuLb76ZDWPPv2X-qKSpx6jRqqp2bVU28L-3wReOIA84/edit,List of varied educational events / resources. May not be updated.
37,"Anti-oppressive, anti-racist homeschool curriculum ideas",National,education,learning,supplies,,,,,https://docs.google.com/document/d/1rBqt7UJ7U_8Nz0mnLgbRd3TsSgzoJ1gawefZPCNNmAY/mobilebasic?urp=gmail_link,List of curriculum / project ideas for anti-racist home-schooling. 
38,Inclusive Story Time,National,education,learning,supplies,,,,,https://bookshop.org/shop/inclusivestorytime,eshop of picture books with radically inclusive messaging
39,New York Public Library - Remote Learning Resources,NYC,education,learning,supplies,,,,,https://www.nypl.org/about/remote-resources/kids-and-teens,"Various remote learning resources, from NYPL"
40,Brainfuse,NYC,education,learning,supplies,,,,,https://www.nypl.org/about/remote-resources/kids-and-teens/homework-help-brainfuse,"Free online tutoring programs / resources, produced in collabotation with NYPL"
41,Brooklyn Public Library - Virtual Programming,Brooklyn,education,learning,supplies,,,,,https://www.bklynlibrary.org/event-series/Virtual-Programming,Virtual educational events hosted by Brooklyn Public Library
42,Brooklyn Public Library - Remote Learning Resources,Brooklyn,education,learning,supplies,,,,,https://www.bklynlibrary.org/coronavirus,Remote learning resources compiled by BPL
43,Queens Public Library - Virtual Resources for Parents,Queens,education,learning,supplies,,,,,https://www.queenslibrary.org/about-us/news-media/blog/2040,Remote learning resources compiled by QPL
44,Plain Language Information on COVID-19 (in 11 languages),National,covid,advice,,,,,,https://selfadvocacyinfo.org/resource/plain-language-information-on-covid-19/,"COVID-19, in easy, accessible language (for people with development / intellectual disabilities)"
45,Black Lives Matter - Week of Action Curriculum,National,education,learning,supplies,,,,,https://drive.google.com/drive/mobile/folders/1LGslwJwhXvpVnDgw0uC-n794l6EGzpuH?fbclid=IwAR3DgGDVWx3RkThMJbefRzuC7yICsacO6xX4t8rOd3GAKiZ2QQKoK5M1Tdg&usp=drive_open,Curriculum program designed to challenge racism and build racial equity
46,Alvin Ailey American Dance Theater All Access,National,education,learning,supplies,,,,,https://www.aileyextension.com/keepdancing?_ga=2.85043996.402988996.1586548750-1512439318.1586548750,"Free online dance classes (hop-hop, west African, ballet, etc) and shows"
47,Made in Brownsville - Virutal Studios,National,education,learning,supplies,,,,,https://madeinbrownsville.org/programs/virtual/,"Free tutorials in Adobe products — including Illustrator, InDesign, and After Aeffects"
48,Adobe Cloud for Students - 2 Months Free,National,learning,jobs,,,,,,https://petapixel.com/2020/03/13/adobe-offers-students-free-at-home-access-to-creative-cloud-apps-amid-coronavirus-closures/,Students can get 2 months free of Adobe
49,Scholastic Learn at Home,National,education,learning,supplies,,,,,https://classroommagazines.scholastic.com/support/learnathome.html,"Free online learning resources from Scholastic, the publisher"
50,Bookflix,National,education,learning,supplies,,,,,https://bookflix.digital.scholastic.com/home?authCtx=U.794217314,"No-cost ebooks and activies, provided by Scholastic"
51,Abolitionist Mutual Aid Fund,National,financial-support,abolition,incarcerated,,,,,https://www.paypal.com/pools/c/8npG1wcuiJ,Send commisary money to incarcerated people
52,Brooklyn COVID-19 Response Fund,Brooklyn,financial-support,,,,,,,https://www.classy.org/give/276710/#!/donation/checkout,General purpose Brooklyn COVID relief fund
53,BYP100 Black NYC COVID-19 Paypal,NYC,financial-support,poc,,,,,,https://tinyurl.com/NYCCOVIDDONATE,COVID relief fund for black people / people of color
54,COVID Bail Out,NYC,financial-support,abolition,,,,,,https://www.covidbailout.org/,Bail-out fund to help incarcerated people escape the dangers of incarceration during COVID-19
55,East Brooklyn Cash Assistance,Brooklyn,financial-support,,,,,,,https://www.brooklyngives.org/organizations/made-in-brownsville-inc?utm_medium=email&utm_source=getresponse&utm_content=A+gift+to+you+celebrating+7+years+of+MiB+and+help+us+start+a+COVID%E2%80%9319+Relief+Fund+for+Youth+in+East+Brooklyn&utm_campaign=Made+In+Brownsville,Cash assistance for freelance / creative workers in east Brooklyn
56,COVID-19 Dance Relief Fund,NYC,financial-support,,,,,,,https://www.dance.nyc/programs/funds/CoronavirusDanceReliefFund,Relief fund for dance workers
57,Emergency Relief Funds for LGBTQ+ Caribbeans in NYC,NYC,lgbtqi+,financial-support,,,,,,https://www.gofundme.com/f/emergency-relief-fund-for-lgbtq-caribbeans?teamInvite=bfGVN9aZlb3fp7eV7r1hYsUONFCt4m5qZI4dHROsNnZKqZDR8kWlKLXAS7qvkmrC&utm_medium=email&utm_source=product&utm_campaign=p_email%2Bteaminviteemail,Relief fund for Carribean LGBTQ+ people
58,Emergency Fund for Undocumented Youth and Families GoFundMe,NYC,financial-support,undocumented-people,,,,,,https://charity.gofundme.com/o/en/campaign/emergency-funds-for-undocumented-youth-and-families-during-covid-19/jenniferqueenan?modified=1,Emergency funds for immigrant / undocumented people
59,Financial Solidarity for Formerly Incarcerated People and Their Families (NYC) GoFundMe,NYC,financial-support,abolition,,,,,,https://www.gofundme.com/f/financial-solidarity-mutual-aid?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet,Relief fund for formerly incarcerated people
60,Flushing Workers Center Fund Drive,Queens,financial-support,,,,,,,https://www.gofundme.com/f/flushing-workers-center?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet&fbclid=IwAR3TjZ61z_MLtqhPKW0fRvxa4RtFh0EAtaeNAPvf1C99bODGvbzqqNAXeVI,"Relief fund for essential  workers in Flushing, focused on procuring protective equipments and supporting workers who lost their jobs"
61,FOR THE GWORLS: MEDICAL FUND,NYC,financial-support,poc,lgbtqi+,,,ftgmedical@gmail.com,,https://docs.google.com/forms/d/e/1FAIpQLSeQz2h3H5lEvPikO5DVcn4K1wAULxgbkgDvqxLAD595Px88jA/viewform,A fund specifically for black trans people to pay for medication / transport costs related to prescriptions
62,"House Homeless Trans Folks, Protect From COVID-19",NYC,financial-support,poc,lgbtqi+,,,,,https://www.gofundme.com/f/help-house-lgbtq-young-adults-during-covid19,Fund to purchase hotel rooms for trans people recently released from Rikers Island
63,Laundry Workers Center Emergency Response Fund,NYC,financial-support,workers,,,,,,https://laundryworkerscenter.nationbuilder.com/covid_19_emergency_response_fund,Emergency response fund for laundry workers
64,Low-Income NYC Artist/Freelancer Relief Fund organized by Shawn Escarciga,NYC,financial-support,workers,,,,,,https://www.gofundme.com/f/nyc-lowincome-artistfreelancer-relief-fund?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet,Relief fund for low-income artists / freelance creatives in NYC
65,Movimiento’s COVID-19 Emergency Fund for Immigrants in El Barrio,NYC,financial-support,poc,,,,,,https://ioby.org/project/movimientos-covid-19-emergency-fund-immigrants-el-barrio,Emergency relief fund for immigrants in NYC
66,NYC Shut It Down,NYC,food,poc,,,,,,https://www.gofundme.com/f/nycshutitdown,Hot meals and groceries for Black and Brown people in all boroughs (except Staten Island)
67,National Domestic Workers Alliance,National,financial-support,workers,,,,,,https://domesticworkers.org/coronavirus-care-fund,Relief fund for domestic workers (who have participated in National Domestic Workers Alliance activities)
68,Relief for Sex Workers in New York COVID-19 GoFundMe,NYC,financial-support,workers,,,,,,https://www.gofundme.com/f/z6w8v5?utm_source=customer&utm_medium=copy_link&utm_campaign=m_pd%20share-sheet&fbclid=IwAR0eU6TV6AYZlnxoSMXy2hZidL-TMrtH_MS54wPj8jzuetzRJR8nofBw5xw,Relief fund for sex workers in NYC. (More about the project here: https://www.swopbrooklyn.org/)
69,Restaurant Workers COVID19 Crisis Relief Fund Donation Page,NYC,financial-support,workers,,,,,,https://secure.restaurantworkerscf.org/np/clients/restaurantworkerscf/donation.jsp?forwardedFromSecureDomain=1&campaign=2&&test=true,Relief fund for restaurant workers
70,Selis Manor COVID-19 Solidarity Aid,NYC,financial-support,disabled-people,,,,,,https://www.gofundme.com/f/selis-manor-solidarity-aid?fbclid=IwAR16SA5lD5QC1DL0t2WDIKvwnQUpS59tigqyW70FY8c5i9806GlbuM-LdFc,"Selis Manor houses blind and visually-impaird people and their families. This is a relief fund to support Selis Manor's operations, and protect these especially vulnerable people."
71,Abolition Action Group Grocery Fund,NYC,financial-support,abolition,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSesOcVqR-yySnVRO0w6MUp6AVKE1Z-nz2H9r7Iigw49wxaidg/viewform,Grocery fund organized by the NYC chapter of the Democratic Socialists of America. 
72,Astoria Mutual Aid Network,Queens,financial-support,food,medicine,,646-397-8383,,,https://www.astoriamutualaid.com/,Fund for Astoria community members
73,Bartender Emergency Assistance Fund,NYC,financial-support,workers,,,,,,https://www.usbgfoundation.org/beap,Emergency fund for bartenders / alcohol servers
74,Bed-Stuy Strong,Brooklyn,financial-support,food,medicine,,(732) 771-9663,bedstuystrong2020@gmail.com,,https://bedstuystrong.com/,Emergenc fund for Bed-Stuy community members
75,BCF front-line service grants,Brooklyn,grants,,,,,COVID19@brooklyncommunityfoundation.org,,https://www.brooklyncommunityfoundation.org/COVID-19-Grants,Grants for front-line service organizations in Brooklyn (open call for grant applications: https://brooklyncommunityfoundation.submittable.com/submit/1749cf7f-8bf6-49bc-922b-e74eaf522945/brooklyn-covid-19-response-fund-open-call)
76,#BrooklynShowsLove Mutual Aid Project :,Brooklyn,financial-support,food,medicine,,(646) 820-6039,,,http://www.equalityforflatbush.org/brooklyn-shows-love-mutual-aid-project/,"Information about BrooklynShowsLove, a mutual aid project based in Brooklyn"
77,Bronx Mutual Aid,Bronx,financial-support,food,medicine,,,,,https://docs.google.com/forms/d/e/1FAIpQLSd5guY-yeoepEnnTcTxuaatPnatSuoaDHSCU1vxsgXqChIP6A/viewform,Delivery of groceries / other resources for Bronx community members
78,Brownsville Mutual Aid,Brooklyn,financial-support,food,medicine,,,,,https://airtable.com/shrbWHudhAid400Y9,Delivery of groceries / other resources for Brownsville community members
79,Bushwick Mutual Aid,Brooklyn,financial-support,food,medicine,,(929) 277-9016,bushwickmutualaid@gmail.com,,https://docs.google.com/forms/d/e/1FAIpQLSeSGQM_rYrBRfZS6coHuYIwraa6ivs14Lp7d7ZPf6otSG7alw/viewform,Delivery of groceries / other resources for Bushwick community members
80,BYP100 Black NYC COVID-19 Need Form,NYC,financial-support,poc,,,,nycblackaid@gmail.com,,http://tinyurl.com/nyccovid19need,Community support for black people in NYC
81,Commonpoint Queens Emergency Assistance ,Queens,financial-support,food,medicine,,(929) 255-6060,,,https://www.commonpointqueens.org/commonpoint-queens-emergency-assistance/?fbclid=IwAR0pcbrhf0oe_OVD893Caf8C_hOgHqAT74JomEs6BEtr1gO62ex5FbZ940M,"Meal deliveries, resource guidance, benefit application assistance for Queens residents. Call M-F, 9a-5p."
82,Corona Metro,NYC,financial-support,workers,,,,,,http://coronametro.com,Request or donate metrocards
83,COVID Worker Care Network NYC,NYC,financial-support,workers,,,,,,https://www.nyccovidcare.org/request,Mental / spiritual health for workers affected by COVID-19
84,COVID-19 Dance Relief fund,NYC,financial-support,workers,arts,,,,,https://www.dance.nyc/programs/funds/CoronavirusDanceReliefFund,Relief fund for dancers
85,Disability Justice Mutual Aid Fund,NYC,financial-support,disabled-people,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSfyjbOCGNJGUEXPefDxh4UrDuxdXjRCtv8dhbGMznvHd4E18g/viewform,Short-term fund for disabled BLM / black liberation organizers
86,Foundation For Contemporary Arts Emergency Grant,NYC,financial-support,workers,arts,,,,,https://www.foundationforcontemporaryarts.org/grants/emergency-grants-covid-19-fund,Emergency grants of between $250 and $2500 for visual / performing artists in NYC
87,Freelance Artist Resource COVID-19,National,financial-support,workers,arts,,,,,https://covid19freelanceartistresource.wordpress.com/?fbclid=IwAR0WWNQy2M1oPjEJ2W3t3Nu97QMfj8xF8M3HWSsvjh1ow1EWDcV-x9OxBhY,Various resources for freelance artists affected by COVID-19
88,IntegrateNYC Youth Aid Fund,NYC,financial-support,food,medicine,,,,,https://secure.givelively.org/donate/integratenyc-inc/youth-aid-fund,
89,LES Mutual Aid,Manhattan,financial-support,food,medicine,,,lesmutualaid@gmail.com,,https://docs.google.com/forms/d/e/1FAIpQLSdlxH0_kWe6-LZMLsT69XRMgTg-pwK970xwia5TkNWT2TCgRQ/viewform,Mutual aid for lower east-side community members
90,Mutual Aid NYC Neighborhood Groups,NYC,financial-support,food,medicine,,,,,https://mutualaid.nyc/groups/,"Directory of mutual-aid groups in NYC, by neighborhood"
91,NATIONAL DOMESTIC WORKERS ALLIANCE,National,financial-support,workers,,,,,,https://domesticworkers.org/coronavirus-care-fund,Domestic workers who have participated in NDWA may be eligible for one-time emergency assistance of up to $400
92,New York Foundation of the Arts,NYC,financial-support,workers,,,,,,https://www.nyfa.org/Content/Show/Emergency%20Grants,List of emergency grants to serve various arts orgs
93,North Brooklyn Mutual Aid,Brooklyn,financial-support,food,medicine,,(646) 389-6016,greenpointhelpers@gmail.com,,https://northbrooklynmutualaid.org/,"Mutual aid group in Greenpoint & Williamsburg. Support includes groveries, petcare, laundry. Need form here: https://airtable.com/shrc9uY9MRGzWzKau"
94,Ocean Hill / Brownsville Mutual Aid Network,Brooklyn,financial-support,food,medicine,,,,,https://www.gofundme.com/f/ocean-hill-brownsville-mutual-aid-network?utm_source=twitter&utm_medium=social&utm_campaign=m_pd+share-sheet,Grocery delivery for Ocean Hill / Brownsville community members
95,One Fair Wage Emergency Funds for Tipped and Service Workers,National,financial-support,workers,,,,,,https://domesticworkers.org/coronavirus-care-fund,"Cash assistance for restaurant workers, delivery workers, and postal delivery workers"
96,Queens Mutual Aid Network,Queens,financial-support,food,medicine,,,,,https://docs.google.com/forms/d/e/1FAIpQLSc4JI-xFE3qTxC07Tz762fEe4yNzpDo7eAsHkFo-jqnKZo1Bg/viewform?fbclid=IwAR05pQ37eKvlq1P3Nu2mv_32zzYCC3g7_gIMYSdKiALw3qaJYHFCMKSuYUE,"Free groceries / medicine delivery, legal advice, other resources for Queens community members"
97,Radical Muslim Mutual Aid COVID-19 Redistribution Fund,NYC,financial-support,food,medicine,,,,,https://masjidalrabia.org/mutualaid,"Muslim LGBTQI+ org, providing relief for Muslims affected by COVID-19"
98,Relief Fund for LGBTQI+ BIPOC Folks,NYC,financial-support,lgbtqi+,poc,,,,,https://www.gofundme.com/f/covid19-relief-fund-for-lgbtqi-bipoc-folks?utm_source=customer&utm_medium=email&utm_campaign=p_cp+share-sheet,Relief fund for LGBTQI+ / black / BPOC folks
99,Relief for Sex Workers in New York COVID-19,NYC,financial-support,workers,,,,brooklynswop@protonmail.com,,https://www.gofundme.com/f/z6w8v5,Relief fund for sex workers 
100,Ridgewood Mutual Aid Network and Fundraiser,Queens,financial-support,food,medicine,,(929) 251-5044,ridgewoodmutualaidnetwork@gmail.com,,https://chuffed.org/project/ridgewoodmutualaidnetwork,"Groceries, medicine, and other assistance for Ridgewood community members. (Organized by Ridgewood Tenants Union)"
101,Rockaway Mutual Aid,Queens,financial-support,food,medicine,,(732) 654-2505,,,https://chuffed.org/project/rockaway-mutual-aid-covid-19-relief-fund,"Support for Rockaway community members. Call M-Sa, 9a to 1p"
102,Safety Practices for COVID-19 Mutual Aid Projects,National,covid,information,,,,,,https://docs.google.com/document/d/1C16wFJ6KGQAAVkON6DXFzqBx6ijq9uHFONjyV_GTVEs/edit,Various guidelines for public safety for mutual aid orgs / volunteers
103,"Sistas Van Needs Intake Form | ""Sistas Van"" Formulario De Necesidades ",Brooklyn,covid,lgbtqi+,poc,,,,,https://docs.google.com/forms/d/e/1FAIpQLSdZPV9N6oBFaFpOSGQCP8RkpoeZ64WhJHAbNP63RGAe3Ntikw/viewform,"Mobile support, offering food, PPE, other goods — focused on Black women / femmes"
104,South Brooklyn Community Mutual Aid,Brooklyn,covid,food,medicine,,,,,https://docs.google.com/spreadsheets/d/1RduJEBqZFa9jXgDZskga06cH52mDR87yoNdXIajLOsU/edit#gid=920888441,"Support for South Brooklyn (Sunset Park, Bay Ridge, Bensonhurst, Gravesend) community members"
105,Southeast Queens Community Care Outreach,,covid,food,medicine,,,,,https://docs.google.com/forms/d/1moBlemoRTZzrIbBcvu_zPRFiRbmCG8HBs48o2NRU8LU/viewform?edit_requested=true&fbclid=IwAR394f1D86NyXIg-oAdi3-Y96meuMiTmwlFHACToVEbh4sIupdQ5qJ7_5Dc,"Support for Southest Queens community members (groceries, medication, other supplies)"
106,The End is Queer,NYC,covid,lgbtqi+,poc,,,,,https://www.facebook.com/groups/218921919226857/,Mututal aid group for queer / trans people in NYC
107,Undocu Workers Fund,NYC,covid,undocumented-people,,,,undocuworkersfund@gmail.com,,https://raise-nyc.squarespace.com/events,Up to $200 cash assistance for undocumented workers in need
108,Westcott Mutual Aid Network,New York State,covid,food,medicine,,,,,https://docs.google.com/forms/d/e/1FAIpQLSfsOqhZBPwqbLcreODbgeYDvIIfZ201p6aaGVIYYhN3645WYA/viewform,"Mutual aid project in Westcott, Syracuse"
109,COVID-19 Information - in 50+ languages,National,covid,information,,,,,,https://drive.google.com/drive/folders/1KmaFpW-NFoKy8_D0JrNKpUsNb15MFkSk?fbclid=IwAR1uXT_tFs472LYS-M-o6CDe03y_eSW8rBI7MmXoiy4m4iFHYsk13JCtXCE,Huge directory of COVID-19 resources in over 50 languages
110,COVID-19 Community Care Resources,National,covid,information,,,,,,https://anothergulf.com/covid-19communitycare/,Resources and guides for COVID-19 survival
111,Coronavirus Resource Kit,National,covid,information,,,,,,https://docs.google.com/document/d/1Rcan4C_e6OBFBI5bUn7MtYK74Ab-WarxyJmDvZUI_YA/edit,A general-purpose COVID-19 resource list
112,NYC United Against Coronavirus,NYC,covid,information,,,,,,https://docs.google.com/document/d/18WYGoVlJuXYc3QFN1RABnARZlwDG3aLQsnNokl1KhZQ/edit,Comprehensive NYC COVID-19 resource list
113,Robin Hood Response Resources,National,covid,information,,,,,,https://www.robinhood.org/rh-relief-effort-resources/,Financial / educational COVID-19 relief
114,MOFAD COVID Resources,NYC,covid,information,,,,,,https://www.mofad.org/covid,Resources for restaurant owners / workers — from the Museum of Food & Drink
115,"Asian American, Native Hawaiian, and Pacific Islander (AA and NHPI) in-language resources on the novel coronavirus (COVID-19)",National,covid,information,,,,,,https://docs.google.com/spreadsheets/d/1XePaKv7Ar59PG7z37QqzIb8WfynEx5BK5ZfK3VLXIJA/htmlview#,"Mutilingual resources for Asian-American, Native Hawaiin, and Pacific Islander Americans"
116,Suffolk County (eastern Long Island) Resources and Services,New York State,covid,information,,,,,,https://docs.google.com/document/d/1ASXGhju45qjkYExmd3FDRC_mK8aZ5Y1qenpJer0mnmE/edit?usp=sharing,Resources focused on Suffolk County / Long Island
117,https://www.irs.gov/coronavirus/non-filers-enter-payment-info-here,National,covid,legal,information,,,,,https://www.irs.gov/coronavirus/non-filers-enter-payment-info-here,"Info on receiving the $1,200 stimulus check"
118,https://www.irs.gov/coronavirus/get-my-payment,National,covid,legal,information,,,,,https://www.irs.gov/coronavirus/get-my-payment,"Checking on the status of $1,200 stimulus payment"
119,Community Care NYC,NYC,food,,,,(661) 381-1206,,,https://docs.google.com/forms/d/19MKw2jIRTEu6TAlyelx6aSyWLWgD_FjiPfcSyzmVoz0/viewform?edit_requested=true,One-time $40 groceries delivered at no cost to NYC residents (preference for Bronx residents)
120,Corona Couriers,NYC,food,medicine,,,(929) 320-0660,coronacourier@protonmail.com,,https://docs.google.com/document/d/1s9X6u1hY9zDTm0R5_VFZ1nceQnhxDSNT9UPKhfBXdBo/edit?usp=sharing,"Cyclists providing no-charge groceries / medications / other supplies in Brooklyn, Manhattan, Queens. (Partnering with other orgs in the Bronx)"
121,Food Hub NYC,NYC,food,,,,,,,https://www.google.com/maps/d/u/0/viewer?mid=1FU1Eg9em2ZkJSIizaBlftrYi02tCUF2L&ll=40.769397776967104%2C-73.93386812656252&z=12,Map of restaurants offering free food for families affected by COVID-19
122,Food Bank NYC,NYC,food,,,,,,,https://www.foodbanknyc.org/covid-19/,Free meals at various soup kitchens / food pantries. (See map: https://www.google.com/maps/d/u/0/viewer?mid=1uVjjVxXfLFU4R6V7qjXXRoxCy-IwfMSP&ll=40.697704133839615%2C-73.91146156777342&z=12)
